Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000158373	ENSG00000158373.9	26158122	26171349	6	H2BC5
ENSG00000188996	ENSG00000188996.5	655939	657100	6	HUS1B
ENSG00000161911	ENSG00000161911.12	41149337	41154347	6	TREML1
ENSG00000186994	ENSG00000186994.12	8322584	8343262	19	KANK3
ENSG00000241839	ENSG00000241839.10	64841883	64868002	15	PLEKHO2
ENSG00000114270	ENSG00000114270.18	48564073	48595329	3	COL7A1
ENSG00000164663	ENSG00000164663.15	41789896	41895375	6	USP49
ENSG00000091138	ENSG00000091138.13	107765467	107803225	7	SLC26A3
ENSG00000138031	ENSG00000138031.15	24819169	24920237	2	ADCY3
ENSG00000005513	ENSG00000005513.10	981770	986979	16	SOX8
ENSG00000166839	ENSG00000166839.18	64911902	64958691	15	ANKDD1A
ENSG00000197279	ENSG00000197279.5	28080568	28089563	6	ZNF165
ENSG00000156689	ENSG00000156689.7	58834065	58904215	11	GLYATL2
ENSG00000244355	ENSG00000244355.8	31715348	31717919	6	LY6G6D
ENSG00000204514	ENSG00000204514.11	57848731	57889074	19	ZNF814
ENSG00000044090	ENSG00000044090.13	43037617	43053943	6	CUL7
ENSG00000154553	ENSG00000154553.17	185500660	185535507	4	PDLIM3
ENSG00000132600	ENSG00000132600.18	68310951	68360852	16	PRMT7
ENSG00000105472	ENSG00000105472.14	50723364	50725708	19	CLEC11A
ENSG00000176973	ENSG00000176973.8	65572349	65574198	11	FAM89B
ENSG00000160460	ENSG00000160460.17	40466241	40576464	19	SPTBN4
ENSG00000153294	ENSG00000153294.12	47685864	47722021	6	ADGRF4
ENSG00000249931	ENSG00000249931.5	32389599	32403292	15	GOLGA8K
ENSG00000160999	ENSG00000160999.11	102285091	102321711	7	SH2B2
ENSG00000173442	ENSG00000173442.13	65576046	65592650	11	EHBP1L1
ENSG00000142319	ENSG00000142319.18	1392794	1445440	5	SLC6A3
ENSG00000159592	ENSG00000159592.11	45627304	45688113	1	GPBP1L1
ENSG00000196812	ENSG00000196812.6	28107689	28130082	6	ZSCAN16
ENSG00000226314	ENSG00000226314.9	28161769	28169594	6	ZKSCAN8P1
ENSG00000137185	ENSG00000137185.13	28224886	28233487	6	ZSCAN9
ENSG00000173338	ENSG00000173338.13	65592836	65595996	11	KCNK7
ENSG00000153395	ENSG00000153395.10	1456480	1523962	5	LPCAT1
ENSG00000182175	ENSG00000182175.15	93035271	93089211	15	RGMA
ENSG00000080493	ENSG00000080493.19	71062667	71572087	4	SLC4A4
ENSG00000187626	ENSG00000187626.9	28241697	28252269	6	ZKSCAN4
ENSG00000189134	ENSG00000189134.4	28259297	28260958	6	NKAPL
ENSG00000124635	ENSG00000124635.9	27125897	27132795	6	H2BC11
ENSG00000196787	ENSG00000196787.4	27133043	27133535	6	H2AC11
ENSG00000276180	ENSG00000276180.2	27139282	27139678	6	H4C9
ENSG00000197903	ENSG00000197903.8	27146361	27146855	6	H2BC12
ENSG00000274997	ENSG00000274997.2	27147106	27147562	6	H2AC12
ENSG00000121270	ENSG00000121270.16	48165773	48247568	16	ABCC11
ENSG00000143570	ENSG00000143570.19	153959099	153968184	1	SLC39A1
ENSG00000173327	ENSG00000173327.8	65597756	65615382	11	MAP3K11
ENSG00000112812	ENSG00000112812.16	27247701	27256624	6	PRSS16
ENSG00000173349	ENSG00000173349.6	127701497	127705242	2	SFT2D3
ENSG00000172058	ENSG00000172058.16	70900669	70918530	5	SERF1A
ENSG00000140299	ENSG00000140299.14	59659146	59689339	15	BNIP2
ENSG00000142864	ENSG00000142864.15	67407810	67430415	1	SERBP1
ENSG00000172062	ENSG00000172062.17	70925030	70953942	5	SMN1
ENSG00000197136	ENSG00000197136.5	65615776	65637439	11	PCNX3
ENSG00000105136	ENSG00000105136.22	57487711	57496098	19	ZNF419
ENSG00000213445	ENSG00000213445.10	65638101	65650918	11	SIPA1
ENSG00000004939	ENSG00000004939.16	44248390	44268141	17	SLC4A1
ENSG00000155530	ENSG00000155530.4	134127299	134264595	7	LRGUK
ENSG00000075975	ENSG00000075975.17	12557057	12586208	3	MKRN2
ENSG00000158553	ENSG00000158553.5	27285903	27312273	6	POM121L2
ENSG00000124613	ENSG00000124613.9	27374615	27403908	6	ZNF391
ENSG00000140553	ENSG00000140553.18	90930180	90954093	15	UNC45A
ENSG00000172667	ENSG00000172667.11	178960121	179072215	3	ZMAT3
ENSG00000198160	ENSG00000198160.15	66924895	66988619	1	MIER1
ENSG00000096654	ENSG00000096654.16	27450743	27473118	6	ZNF184
ENSG00000176842	ENSG00000176842.16	54930865	54934485	16	IRX5
ENSG00000132613	ENSG00000132613.16	70661204	70686053	16	MTSS2
ENSG00000205060	ENSG00000205060.11	134289332	134316930	7	SLC35B4
ENSG00000104783	ENSG00000104783.15	43766533	43780976	19	KCNN4
ENSG00000121879	ENSG00000121879.6	179148114	179240093	3	PIK3CA
ENSG00000140987	ENSG00000140987.21	3382081	3401065	16	ZSCAN32
ENSG00000125637	ENSG00000125637.16	113157325	113209396	2	PSD4
ENSG00000122566	ENSG00000122566.22	26171151	26201529	7	HNRNPA2B1
ENSG00000249437	ENSG00000249437.8	70968166	71025339	5	NAIP
ENSG00000214787	ENSG00000214787.11	60200270	60243137	11	MS4A4E
ENSG00000213967	ENSG00000213967.12	23914876	23945159	19	ZNF726
ENSG00000168056	ENSG00000168056.18	65538559	65558930	11	LTBP3
ENSG00000188171	ENSG00000188171.17	20619939	20661596	19	ZNF626
ENSG00000185864	ENSG00000185864.18	21834569	21880827	16	NPIPB4
ENSG00000130518	ENSG00000130518.18	18257098	18274500	19	IQCN
ENSG00000108309	ENSG00000108309.14	44308413	44318670	17	RUNDC3A
ENSG00000064995	ENSG00000064995.19	34877462	34889192	6	TAF11
ENSG00000213973	ENSG00000213973.10	22752183	22784151	19	ZNF99
ENSG00000197808	ENSG00000197808.13	36636618	36666853	19	ZNF461
ENSG00000166965	ENSG00000166965.13	90954881	90963125	15	RCCD1
ENSG00000149922	ENSG00000149922.12	30085793	30091924	16	TBX6
ENSG00000136854	ENSG00000136854.25	127579370	127696027	9	STXBP1
ENSG00000145736	ENSG00000145736.15	71035016	71067689	5	GTF2H2
ENSG00000167208	ENSG00000167208.16	50666300	50681353	16	SNX20
ENSG00000109756	ENSG00000109756.10	159103013	159360174	4	RAPGEF2
ENSG00000013306	ENSG00000013306.16	44319625	44324870	17	SLC25A39
ENSG00000143947	ENSG00000143947.15	55231903	55235853	2	RPS27A
ENSG00000184471	ENSG00000184471.9	1088226	1096244	16	C1QTNF8
ENSG00000164414	ENSG00000164414.19	87470623	87512336	6	SLC35A1
ENSG00000197763	ENSG00000197763.20	126571779	126655124	3	TXNRD3
ENSG00000162426	ENSG00000162426.16	8318114	8344167	1	SLC45A1
ENSG00000198203	ENSG00000198203.10	108288639	108309915	2	SULT1C2
ENSG00000159720	ENSG00000159720.13	67438014	67481181	16	ATP6V0D1
ENSG00000117245	ENSG00000117245.13	20664014	20718017	1	KIF17
ENSG00000146282	ENSG00000146282.19	87513459	87590028	6	RARS2
ENSG00000179097	ENSG00000179097.7	87792706	87993839	3	HTR1F
ENSG00000114779	ENSG00000114779.20	51968510	51983409	3	ABHD14B
ENSG00000139193	ENSG00000139193.4	6444955	6451718	12	CD27
ENSG00000184056	ENSG00000184056.15	90998673	91022603	15	VPS33B
ENSG00000087088	ENSG00000087088.21	48954815	48961798	19	BAX
ENSG00000239732	ENSG00000239732.4	52221080	52225645	3	TLR9
ENSG00000163918	ENSG00000163918.12	186789880	186807058	3	RFC4
ENSG00000188295	ENSG00000188295.15	247099962	247104372	1	ZNF669
ENSG00000261701	ENSG00000261701.9	72063148	72077246	16	HPR
ENSG00000183303	ENSG00000183303.3	7795974	7796942	11	OR5P2
ENSG00000166225	ENSG00000166225.9	69470349	69579793	12	FRS2
ENSG00000198075	ENSG00000198075.10	108377911	108388989	2	SULT1C4
ENSG00000146414	ENSG00000146414.17	145864245	145964423	6	SHPRH
ENSG00000116750	ENSG00000116750.14	193012250	193060080	1	UCHL5
ENSG00000204869	ENSG00000204869.9	46039182	46077118	19	IGFL4
ENSG00000131620	ENSG00000131620.18	69985907	70189530	11	ANO1
ENSG00000135945	ENSG00000135945.10	99400475	99490035	2	REV1
ENSG00000232382	ENSG00000232382.2	98463201	98472924	3	OR5K1
ENSG00000157106	ENSG00000157106.18	18804860	18926408	16	SMG1
ENSG00000144681	ENSG00000144681.11	36380503	36548007	3	STAC
ENSG00000188293	ENSG00000188293.6	46229742	46231243	19	IGFL1
ENSG00000182315	ENSG00000182315.10	7056207	7069665	19	MBD3L3
ENSG00000196218	ENSG00000196218.14	38433691	38595273	19	RYR1
ENSG00000161682	ENSG00000161682.15	44353215	44363853	17	FAM171A2
ENSG00000005961	ENSG00000005961.19	44372180	44389649	17	ITGA2B
ENSG00000185518	ENSG00000185518.12	91099950	91302565	15	SV2B
ENSG00000231213	ENSG00000231213.7	146576555	146605346	3	PLSCR5
ENSG00000164520	ENSG00000164520.12	149883179	149898113	6	RAET1E
ENSG00000145362	ENSG00000145362.21	112818032	113384221	4	ANK2
ENSG00000144852	ENSG00000144852.20	119780484	119818487	3	NR1I2
ENSG00000110203	ENSG00000110203.10	72114869	72139892	11	FOLR3
ENSG00000111404	ENSG00000111404.7	18080869	18320107	12	RERGL
ENSG00000112186	ENSG00000112186.13	17393595	17557780	6	CAP2
ENSG00000176371	ENSG00000176371.14	84600986	84627796	15	ZSCAN2
ENSG00000176547	ENSG00000176547.11	48324920	48325955	11	OR4C3
ENSG00000160613	ENSG00000160613.15	117204337	117232525	11	PCSK7
ENSG00000173262	ENSG00000173262.12	7812512	7891148	12	SLC2A14
ENSG00000196604	ENSG00000196604.13	130073535	130129222	2	POTEF
ENSG00000113889	ENSG00000113889.14	186717348	186744410	3	KNG1
ENSG00000177082	ENSG00000177082.13	84639285	84654343	15	WDR73
ENSG00000173559	ENSG00000173559.15	191678068	191741097	2	NABP1
ENSG00000010319	ENSG00000010319.7	52433035	52445103	3	SEMA3G
ENSG00000114854	ENSG00000114854.8	52451100	52454041	3	TNNC1
ENSG00000010322	ENSG00000010322.16	52455118	52493068	3	NISCH
ENSG00000116514	ENSG00000116514.17	32936445	32964809	1	RNF19B
ENSG00000110367	ENSG00000110367.14	118747763	118791164	11	DDX6
ENSG00000162419	ENSG00000162419.13	28668778	28719353	1	GMEB1
ENSG00000112137	ENSG00000112137.19	12716312	13290446	6	PHACTR1
ENSG00000197696	ENSG00000197696.10	84655129	84658563	15	NMB
ENSG00000168497	ENSG00000168497.5	191834310	191847088	2	CAVIN2
ENSG00000154222	ENSG00000154222.15	52345723	52366205	1	CC2D1B
ENSG00000165923	ENSG00000165923.17	47659591	47715389	11	AGBL2
ENSG00000114841	ENSG00000114841.18	52316319	52400492	3	DNAH1
ENSG00000163017	ENSG00000163017.14	73892314	73919865	2	ACTG2
ENSG00000112559	ENSG00000112559.15	41636882	41654244	6	MDFI
ENSG00000197362	ENSG00000197362.15	149069641	149090782	7	ZNF786
ENSG00000126882	ENSG00000126882.14	131258076	131277365	9	FAM78A
ENSG00000204947	ENSG00000204947.9	149102784	149126324	7	ZNF425
ENSG00000097007	ENSG00000097007.20	130713043	130887675	9	ABL1
ENSG00000204248	ENSG00000204248.12	33162681	33192499	6	COL11A2
ENSG00000155660	ENSG00000155660.11	149003062	149028662	7	PDIA4
ENSG00000275395	ENSG00000275395.7	39863323	39934626	19	FCGBP
ENSG00000076108	ENSG00000076108.12	56595596	56636816	12	BAZ2A
ENSG00000173406	ENSG00000173406.16	56994778	58546734	1	DAB1
ENSG00000114956	ENSG00000114956.20	73926826	73958961	2	DGUOK
ENSG00000161681	ENSG00000161681.17	50659255	50719802	19	SHANK1
ENSG00000105894	ENSG00000105894.13	137227341	137343774	7	PTN
ENSG00000041982	ENSG00000041982.17	115019575	115118207	9	TNC
ENSG00000105851	ENSG00000105851.11	106865278	106908980	7	PIK3CG
ENSG00000076201	ENSG00000076201.16	47381011	47413435	3	PTPN23
ENSG00000197147	ENSG00000197147.15	89524829	89597861	1	LRRC8B
ENSG00000189195	ENSG00000189195.15	92080305	92184725	1	BTBD8
ENSG00000187605	ENSG00000187605.16	73984910	74108176	2	TET3
ENSG00000278053	ENSG00000278053.5	37609739	37643446	17	DDX52
ENSG00000181733	ENSG00000181733.4	8721634	8732160	19	OR2Z1
ENSG00000170923	ENSG00000170923.4	9100407	9107475	19	OR7G2
ENSG00000176695	ENSG00000176695.8	107104	117102	19	OR4F17
ENSG00000167992	ENSG00000167992.14	61258286	61295316	11	VWCE
ENSG00000204866	ENSG00000204866.9	46143106	46161298	19	IGFL2
ENSG00000198380	ENSG00000198380.13	69319780	69387250	2	GFPT1
ENSG00000058673	ENSG00000058673.17	203795623	203854999	1	ZC3H11A
ENSG00000187135	ENSG00000187135.8	29525994	29564551	19	VSTM2B
ENSG00000157999	ENSG00000157999.6	6031376	6036552	7	ANKRD61
ENSG00000141854	ENSG00000141854.10	14072536	14075062	19	MISP3
ENSG00000001626	ENSG00000001626.18	117287120	117715971	7	CFTR
ENSG00000139211	ENSG00000139211.7	47075707	47079959	12	AMIGO2
ENSG00000170948	ENSG00000170948.4	8832377	8843340	19	MBD3L1
ENSG00000198178	ENSG00000198178.11	7729383	7751605	12	CLEC4C
ENSG00000105737	ENSG00000105737.10	41998321	42070206	19	GRIK5
ENSG00000275410	ENSG00000275410.6	37686431	37745059	17	HNF1B
ENSG00000257017	ENSG00000257017.10	72054505	72061055	16	HP
ENSG00000137497	ENSG00000137497.19	72002864	72080693	11	NUMA1
ENSG00000204290	ENSG00000204290.11	32393339	32407181	6	BTNL2
ENSG00000203877	ENSG00000203877.9	83853360	83857515	6	RIPPLY2
ENSG00000139220	ENSG00000139220.17	81257975	81759553	12	PPFIA2
ENSG00000172673	ENSG00000172673.12	127708072	127918631	6	THEMIS
ENSG00000132591	ENSG00000132591.12	28855010	28861061	17	ERAL1
ENSG00000135999	ENSG00000135999.12	148644440	148787569	2	EPC2
ENSG00000050393	ENSG00000050393.12	13786557	13814568	6	MCUR1
ENSG00000072071	ENSG00000072071.17	14147743	14206187	19	ADGRL1
ENSG00000112419	ENSG00000112419.15	143536845	143831185	6	PHACTR2
ENSG00000168280	ENSG00000168280.18	148875227	149026759	2	KIF5C
ENSG00000167536	ENSG00000167536.14	28897781	28903079	17	DHRS13
ENSG00000205413	ENSG00000205413.8	93099513	93118023	7	SAMD9
ENSG00000131864	ENSG00000131864.11	57119138	57131926	19	USP29
ENSG00000188175	ENSG00000188175.10	93188534	93226469	7	HEPACAM2
ENSG00000131236	ENSG00000131236.18	40040233	40072649	1	CAP1
ENSG00000269526	ENSG00000269526.2	53013921	53016123	19	ERVV-1
ENSG00000077009	ENSG00000077009.14	3933069	3942416	19	NMRK2
ENSG00000109118	ENSG00000109118.14	28905250	28951771	17	PHF12
ENSG00000173572	ENSG00000173572.12	55891699	55932336	19	NLRP13
ENSG00000177409	ENSG00000177409.12	93130056	93148385	7	SAMD9L
ENSG00000113971	ENSG00000113971.21	132680609	132722432	3	NPHP3
ENSG00000204536	ENSG00000204536.15	31142439	31158238	6	CCHCR1
ENSG00000182566	ENSG00000182566.15	7728957	7733906	19	CLEC4G
ENSG00000162009	ENSG00000162009.9	1072747	1081454	16	SSTR5
ENSG00000103449	ENSG00000103449.13	51135982	51152334	16	SALL1
ENSG00000011332	ENSG00000011332.22	38211006	38229714	19	DPF1
ENSG00000170381	ENSG00000170381.15	83363238	83649139	7	SEMA3E
ENSG00000180096	ENSG00000180096.13	30378135	30395991	16	SEPTIN1
ENSG00000132153	ENSG00000132153.15	47802909	47850195	3	DHX30
ENSG00000161513	ENSG00000161513.12	74862497	74873031	17	FDXR
ENSG00000122512	ENSG00000122512.17	5970925	6009130	7	PMS2
ENSG00000150556	ENSG00000150556.17	149038107	149215262	2	LYPD6B
ENSG00000116176	ENSG00000116176.7	1221651	1225268	16	TPSG1
ENSG00000103154	ENSG00000103154.10	83968244	84002776	16	NECAB2
ENSG00000149926	ENSG00000149926.14	30024427	30052978	16	TLCD3B
ENSG00000187123	ENSG00000187123.15	149329985	149474138	2	LYPD6
ENSG00000140943	ENSG00000140943.18	84053761	84116942	16	MBTPS1
ENSG00000164045	ENSG00000164045.12	48157146	48188417	3	CDC25A
ENSG00000133216	ENSG00000133216.17	22710839	22921500	1	EPHB2
ENSG00000099337	ENSG00000099337.5	38319845	38332076	19	KCNK6
ENSG00000103035	ENSG00000103035.11	74296814	74306288	16	PSMD7
ENSG00000170113	ENSG00000170113.16	22773063	22829789	15	NIPA1
ENSG00000187556	ENSG00000187556.8	13862063	13880757	19	NANOS3
ENSG00000164048	ENSG00000164048.14	48241100	48299253	3	ZNF589
ENSG00000140839	ENSG00000140839.13	74408631	74421478	16	CLEC18B
ENSG00000130270	ENSG00000130270.16	1782075	1812276	19	ATP8B3
ENSG00000140157	ENSG00000140157.16	22838644	22869362	15	NIPA2
ENSG00000144115	ENSG00000144115.18	88170295	88186636	2	THNSL2
ENSG00000172113	ENSG00000172113.10	48290722	48301685	3	NME6
ENSG00000196436	ENSG00000196436.9	74376306	74392115	16	NPIPB15
ENSG00000140798	ENSG00000140798.17	48080882	48156018	16	ABCC12
ENSG00000074706	ENSG00000074706.14	154154496	154356803	6	IPCEF1
ENSG00000131732	ENSG00000131732.12	81301587	81313297	5	ZCCHC9
ENSG00000172782	ENSG00000172782.13	74877302	74893781	17	FADS6
ENSG00000182040	ENSG00000182040.9	74916083	74923256	17	USH1G
ENSG00000183034	ENSG00000183034.13	74922950	74933912	17	OTOP2
ENSG00000106976	ENSG00000106976.22	128191655	128255248	9	DNM1
ENSG00000176204	ENSG00000176204.14	76747685	77593319	2	LRRTM4
ENSG00000182938	ENSG00000182938.7	74935898	74949992	17	OTOP3
ENSG00000115963	ENSG00000115963.14	150468195	150539011	2	RND3
ENSG00000172497	ENSG00000172497.9	81329996	81394179	5	ACOT12
ENSG00000275835	ENSG00000275835.5	22983192	23039572	15	TUBGCP5
ENSG00000248333	ENSG00000248333.9	1635225	1659012	1	CDK11B
ENSG00000197110	ENSG00000197110.10	39243455	39245250	19	IFNL3
ENSG00000164049	ENSG00000164049.14	48372219	48401259	3	FBXW12
ENSG00000145687	ENSG00000145687.17	81412804	81751797	5	SSBP2
ENSG00000155760	ENSG00000155760.3	202033855	202038441	2	FZD7
ENSG00000109089	ENSG00000109089.7	74987632	75005800	17	CDR2L
ENSG00000167862	ENSG00000167862.10	75012670	75021261	17	MRPL58
ENSG00000103044	ENSG00000103044.11	69105653	69118719	16	HAS3
ENSG00000184166	ENSG00000184166.3	3088484	3104422	17	OR1D2
ENSG00000253506	ENSG00000253506.3	61590421	61591219	17	NACA2
ENSG00000065609	ENSG00000065609.15	83552880	83709691	6	SNAP91
ENSG00000273749	ENSG00000273749.5	22867052	22981063	15	CYFIP1
ENSG00000110330	ENSG00000110330.10	102347211	102378670	11	BIRC2
ENSG00000198736	ENSG00000198736.13	1938229	1943199	16	MSRB1
ENSG00000140986	ENSG00000140986.8	1943974	1957606	16	RPL3L
ENSG00000082175	ENSG00000082175.16	101029624	101129813	11	PGR
ENSG00000072954	ENSG00000072954.7	16661139	16690023	19	TMEM38A
ENSG00000114554	ENSG00000114554.12	126982693	127037389	3	PLXNA1
ENSG00000140988	ENSG00000140988.16	1962058	1964841	16	RPS2
ENSG00000099822	ENSG00000099822.3	589881	617159	19	HCN2
ENSG00000108389	ENSG00000108389.10	58489529	58517905	17	MTMR4
ENSG00000169402	ENSG00000169402.16	6754103	6799365	7	RSPH10B2
ENSG00000120756	ENSG00000120756.13	142596393	142713664	3	PLS1
ENSG00000023171	ENSG00000023171.20	123358428	123627774	11	GRAMD1B
ENSG00000070388	ENSG00000070388.12	639879	644373	19	FGF22
ENSG00000241149	ENSG00000241149.4	63998849	64018081	7	ZNF722
ENSG00000197461	ENSG00000197461.13	497258	520296	7	PDGFA
ENSG00000136492	ENSG00000136492.10	61679139	61863559	17	BRIP1
ENSG00000070423	ENSG00000070423.18	647526	663233	19	RNF126
ENSG00000155026	ENSG00000155026.17	5925550	5970689	7	RSPH10B
ENSG00000163710	ENSG00000163710.9	142815922	142889206	3	PCOLCE2
ENSG00000184140	ENSG00000184140.6	101803509	101806887	15	OR4F6
ENSG00000182854	ENSG00000182854.8	101812202	101820197	15	OR4F15
ENSG00000179580	ENSG00000179580.10	1966823	1968975	16	RNF151
ENSG00000070404	ENSG00000070404.10	676392	683392	19	FSTL3
ENSG00000183751	ENSG00000183751.16	1972053	1982929	16	TBL3
ENSG00000128849	ENSG00000128849.11	57375967	57550717	15	CGNL1
ENSG00000135175	ENSG00000135175.6	97984687	97991169	7	OCM2
ENSG00000130167	ENSG00000130167.14	11296139	11326996	19	TSPAN16
ENSG00000158321	ENSG00000158321.19	69598296	70793506	7	AUTS2
ENSG00000188582	ENSG00000188582.10	142949164	142963674	3	PAQR9
ENSG00000263155	ENSG00000263155.6	57591904	57685364	15	MYZAP
ENSG00000081307	ENSG00000081307.15	132654446	132679794	3	UBA5
ENSG00000111671	ENSG00000111671.10	6870935	6889358	12	SPSB2
ENSG00000105514	ENSG00000105514.8	11322068	11346270	19	RAB3D
ENSG00000177575	ENSG00000177575.13	7470811	7503893	12	CD163
ENSG00000180090	ENSG00000180090.5	3291017	3298360	17	OR3A1
ENSG00000105246	ENSG00000105246.6	4229523	4237528	19	EBI3
ENSG00000180016	ENSG00000180016.2	3397104	3398410	17	OR1E1
ENSG00000127780	ENSG00000127780.3	3432870	3433841	17	OR1E2
ENSG00000132003	ENSG00000132003.10	13795443	13832254	19	ZSWIM4
ENSG00000115604	ENSG00000115604.12	102311529	102398777	2	IL18R1
ENSG00000089847	ENSG00000089847.13	4182689	4224814	19	ANKRD24
ENSG00000232535	ENSG00000232535.2	98306752	98312843	3	OR5H8
ENSG00000196408	ENSG00000196408.12	1978917	1984192	16	NOXO1
ENSG00000019169	ENSG00000019169.11	118942194	118994660	2	MARCO
ENSG00000235118	ENSG00000235118.9	206642487	206649365	2	FAM237A
ENSG00000163046	ENSG00000163046.16	132147591	132257969	2	ANKRD30BL
ENSG00000255529	ENSG00000255529.9	57706695	57782762	15	POLR2M
ENSG00000184924	ENSG00000184924.6	24789728	24793391	2	PTRHD1
ENSG00000288920	ENSG00000288920.1	23762944	23871162	19	RPSAP58
ENSG00000162390	ENSG00000162390.18	54542257	54639192	1	ACOT11
ENSG00000113575	ENSG00000113575.12	134194035	134226073	5	PPP2CA
ENSG00000146648	ENSG00000146648.21	55019017	55211628	7	EGFR
ENSG00000084090	ENSG00000084090.14	96184859	96208827	2	STARD7
ENSG00000130309	ENSG00000130309.12	17555649	17583162	19	COLGALT1
ENSG00000108381	ENSG00000108381.11	3472374	3503405	17	ASPA
ENSG00000117448	ENSG00000117448.14	45550543	45570049	1	AKR1A1
ENSG00000127561	ENSG00000127561.16	1989660	1994275	16	SYNGR3
ENSG00000183735	ENSG00000183735.11	64452090	64502114	12	TBK1
ENSG00000108839	ENSG00000108839.12	6996049	7010754	17	ALOX12
ENSG00000125650	ENSG00000125650.5	6375148	6379058	19	PSPN
ENSG00000088247	ENSG00000088247.19	6413102	6424811	19	KHSRP
ENSG00000065054	ENSG00000065054.14	2025356	2039026	16	SLC9A3R2
ENSG00000137745	ENSG00000137745.13	102942995	102955732	11	MMP13
ENSG00000003137	ENSG00000003137.9	72129238	72147862	2	CYP26B1
ENSG00000206077	ENSG00000206077.14	710355	784729	5	ZDHHC11B
ENSG00000105520	ENSG00000105520.11	11355386	11365698	19	PLPPR2
ENSG00000161055	ENSG00000161055.4	180590105	180591499	5	SCGB3A1
ENSG00000137075	ENSG00000137075.18	36336396	36487548	9	RNF38
ENSG00000162687	ENSG00000162687.19	196225779	196609225	1	KCNT2
ENSG00000134326	ENSG00000134326.12	6840570	6866635	2	CMPK2
ENSG00000037280	ENSG00000037280.16	180601506	180649624	5	FLT4
ENSG00000177106	ENSG00000177106.17	694438	727727	11	EPS8L2
ENSG00000130726	ENSG00000130726.12	58544064	58550722	19	TRIM28
ENSG00000231192	ENSG00000231192.3	98130721	98138548	3	OR5H1
ENSG00000236032	ENSG00000236032.3	98147479	98156614	3	OR5H14
ENSG00000230301	ENSG00000230301.6	98263252	98265356	3	OR5H6
ENSG00000156983	ENSG00000156983.17	9731729	9748019	3	BRPF1
ENSG00000065057	ENSG00000065057.9	2039815	2047866	16	NTHL1
ENSG00000161940	ENSG00000161940.11	7023050	7030290	17	BCL6B
ENSG00000174327	ENSG00000174327.7	7036015	7040117	17	SLC16A13
ENSG00000132514	ENSG00000132514.14	7074537	7080307	17	CLEC10A
ENSG00000122705	ENSG00000122705.18	36190856	36304781	9	CLTA
ENSG00000141505	ENSG00000141505.12	7173431	7179564	17	ASGR1
ENSG00000152527	ENSG00000152527.14	43637260	43767987	2	PLEKHH2
ENSG00000103197	ENSG00000103197.18	2047967	2089491	16	TSC2
ENSG00000130635	ENSG00000130635.17	134641803	134844843	9	COL5A1
ENSG00000130724	ENSG00000130724.10	58551452	58555105	19	CHMP2A
ENSG00000241598	ENSG00000241598.6	1620958	1622138	11	KRTAP5-4
ENSG00000204571	ENSG00000204571.7	71581855	71603353	11	KRTAP5-11
ENSG00000177947	ENSG00000177947.15	196761	200261	11	ODF3
ENSG00000167676	ENSG00000167676.5	4502192	4518486	19	PLIN4
ENSG00000132535	ENSG00000132535.22	7187187	7219841	17	DLG4
ENSG00000011376	ENSG00000011376.12	45388561	45554726	3	LARS2
ENSG00000063169	ENSG00000063169.12	47608196	47703277	19	BICRA
ENSG00000230178	ENSG00000230178.1	181367268	181368262	5	OR4F3
ENSG00000153179	ENSG00000153179.13	64507001	64697564	12	RASSF3
ENSG00000133302	ENSG00000133302.13	94618669	94739436	5	SLF1
ENSG00000126243	ENSG00000126243.9	35935358	35946624	19	LRFN3
ENSG00000143387	ENSG00000143387.14	150794880	150809577	1	CTSK
ENSG00000135677	ENSG00000135677.11	64713445	64759431	12	GNS
ENSG00000205138	ENSG00000205138.4	35995188	35996312	19	SDHAF1
ENSG00000176256	ENSG00000176256.11	33860475	33864791	1	HMGB4
ENSG00000128604	ENSG00000128604.21	128937457	128950038	7	IRF5
ENSG00000028277	ENSG00000028277.22	42086110	42196585	19	POU2F2
ENSG00000113648	ENSG00000113648.17	135334381	135399914	5	MACROH2A1
ENSG00000142920	ENSG00000142920.17	33081104	33123492	1	AZIN2
ENSG00000138075	ENSG00000138075.14	43812472	43838865	2	ABCG5
ENSG00000143921	ENSG00000143921.9	43831942	43882988	2	ABCG8
ENSG00000166800	ENSG00000166800.11	18455824	18479601	11	LDHAL6A
ENSG00000144791	ENSG00000144791.10	45555394	45686341	3	LIMD1
ENSG00000110171	ENSG00000110171.21	6448613	6474459	11	TRIM3
ENSG00000116525	ENSG00000116525.14	33145399	33182059	1	TRIM62
ENSG00000183578	ENSG00000183578.8	51056598	51105276	15	TNFAIP8L3
ENSG00000160339	ENSG00000160339.16	134880810	134887523	9	FCN2
ENSG00000223658	ENSG00000223658.8	43675151	43676429	2	C1GALT1C1L
ENSG00000137869	ENSG00000137869.16	51208057	51338601	15	CYP19A1
ENSG00000163823	ENSG00000163823.4	46201711	46208313	3	CCR1
ENSG00000156076	ENSG00000156076.10	65050626	65121305	12	WIF1
ENSG00000085265	ENSG00000085265.12	134903232	134917912	9	FCN1
ENSG00000121807	ENSG00000121807.7	46353864	46360940	3	CCR2
ENSG00000121797	ENSG00000121797.10	46407166	46412997	3	CCRL2
ENSG00000163131	ENSG00000163131.12	150730079	150765957	1	CTSS
ENSG00000283473	ENSG00000283473.5	46612525	46626543	3	FAM240A
